# The delisting register. Forms 25 and 25-NSE are DELISTINGS;
# every 15* form is DEREGISTRATION and is never summed with them.
# A Form 15 can be filed by a company that was never listed.
# quarters read: 15, (2023, 1) to (2026, 3)
# delisting filings: 7399; distinct delisted issuers: 2781; deregistration filings: 2544
form	cik	company	date_filed	path
15-12G	1126961	GRANDSOUTH BANCORPORATION	2023-01-12	edgar/data/1126961/0001552781-23-000012.txt
25-NSE	1111863	SIERRA WIRELESS INC	2023-01-12	edgar/data/1111863/0001354457-23-000017.txt
25-NSE	1137360	VanEck ETF Trust	2023-01-12	edgar/data/1137360/0001417835-23-000004.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-12	edgar/data/1354457/0001354457-23-000016.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-12	edgar/data/1354457/0001354457-23-000017.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-12	edgar/data/1354457/0001354457-23-000018.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-12	edgar/data/1354457/0001354457-23-000019.txt
25-NSE	1417835	Cboe BZX Exchange, Inc.	2023-01-12	edgar/data/1417835/0001417835-23-000004.txt
25-NSE	1557127	UserTesting, Inc.	2023-01-12	edgar/data/1557127/0000876661-23-000042.txt
25-NSE	1827248	Epiphany Technology Acquisition Corp.	2023-01-12	edgar/data/1827248/0001354457-23-000016.txt
25-NSE	1829427	Powered Brands	2023-01-12	edgar/data/1829427/0001354457-23-000019.txt
25-NSE	1829797	Pioneer Merger Corp.	2023-01-12	edgar/data/1829797/0001354457-23-000018.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-12	edgar/data/876661/0000876661-23-000042.txt
15-12G	1691337	PCSB Financial Corp	2023-01-13	edgar/data/1691337/0001104659-23-003852.txt
15-12G	1692115	Southwest Gas Holdings, Inc.	2023-01-13	edgar/data/1692115/0001193125-23-008414.txt
15-12G	1720725	Oyster Point Pharma, Inc.	2023-01-13	edgar/data/1720725/0001193125-23-008484.txt
15-12G	1825437	LIGHTJUMP ACQUISITION CORP	2023-01-13	edgar/data/1825437/0001213900-23-002710.txt
15-12G	866368	PS BUSINESS PARKS, INC./MD	2023-01-13	edgar/data/866368/0001193125-23-008371.txt
25	926042	TATA MOTORS LTD/FI	2023-01-13	edgar/data/926042/0001193125-23-007545.txt
25-NSE	1087711	Santander UK plc	2023-01-13	edgar/data/1087711/0000876661-23-000044.txt
25-NSE	1143313	NYSE AMERICAN LLC	2023-01-13	edgar/data/1143313/0001143313-23-000002.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-13	edgar/data/1143362/0001143362-23-000010.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-13	edgar/data/1143362/0001143362-23-000011.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-13	edgar/data/1354457/0001354457-23-000023.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-13	edgar/data/1354457/0001354457-23-000024.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-13	edgar/data/1354457/0001354457-23-000025.txt
25-NSE	1452937	EXCHANGE TRADED CONCEPTS TRUST	2023-01-13	edgar/data/1452937/0001143362-23-000010.txt
25-NSE	1692115	Southwest Gas Holdings, Inc.	2023-01-13	edgar/data/1692115/0000876661-23-000048.txt
25-NSE	1727074	PGIM ETF TRUST	2023-01-13	edgar/data/1727074/0001143362-23-000011.txt
25-NSE	1784797	Broadmark Realty Capital Inc.	2023-01-13	edgar/data/1784797/0001143313-23-000002.txt
25-NSE	1810560	REVELATION BIOSCIENCES, INC.	2023-01-13	edgar/data/1810560/0001354457-23-000024.txt
25-NSE	1823855	MARLIN TECHNOLOGY CORP.	2023-01-13	edgar/data/1823855/0001354457-23-000023.txt
25-NSE	1831928	Deep Lake Capital Acquisition Corp.	2023-01-13	edgar/data/1831928/0001354457-23-000025.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-13	edgar/data/876661/0000876661-23-000044.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-13	edgar/data/876661/0000876661-23-000048.txt
15-12G	1604924	Forward Pharma A/S	2023-01-17	edgar/data/1604924/0001171843-23-000290.txt
15-12G	1637761	SeaSpine Holdings Corp	2023-01-17	edgar/data/1637761/0001637761-23-000049.txt
15-12G	1825480	Poshmark, Inc.	2023-01-17	edgar/data/1825480/0001193125-23-008927.txt
15-12G	1826729	EQ Health Acquisition Corp.	2023-01-17	edgar/data/1826729/0001104659-23-003899.txt
15-12G	1852771	Macondray Capital Acquisition Corp. I	2023-01-17	edgar/data/1852771/0001104659-23-004178.txt
15-12G	943034	AUTOSCOPE TECHNOLOGIES CORP	2023-01-17	edgar/data/943034/0000897101-23-000035.txt
15-15D	1743852	Nissan Auto Receivables 2018-B Owner Trust	2023-01-17	edgar/data/1743852/0001193125-23-009548.txt
15-15D	1766004	Capital One Prime Auto Receivables Trust 2019-1	2023-01-17	edgar/data/1766004/0001193125-23-009322.txt
25	883948	Atlantic Union Bankshares Corp	2023-01-17	edgar/data/883948/0001104659-23-004236.txt
25-NSE	1067983	BERKSHIRE HATHAWAY INC	2023-01-17	edgar/data/1067983/0000876661-23-000052.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-17	edgar/data/1354457/0001354457-23-000026.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-17	edgar/data/1354457/0001354457-23-000027.txt
25-NSE	1490349	PhenixFIN Corp	2023-01-17	edgar/data/1490349/0001354457-23-000027.txt
25-NSE	1859902	Valens Company, Inc.	2023-01-17	edgar/data/1859902/0001354457-23-000026.txt
25-NSE	833444	Johnson Controls International plc	2023-01-17	edgar/data/833444/0000876661-23-000050.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-17	edgar/data/876661/0000876661-23-000050.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-17	edgar/data/876661/0000876661-23-000052.txt
15-12G	1084384	PARETEUM Corp	2023-01-18	edgar/data/1084384/0001193125-23-010040.txt
15-12G	1823143	MDH Acquisition Corp.	2023-01-18	edgar/data/1823143/0001104659-23-004362.txt
25-NSE	1823733	Fortress Capital Acquisition Corp	2023-01-18	edgar/data/1823733/0000876661-23-000058.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-18	edgar/data/876661/0000876661-23-000058.txt
15-12G	1773087	Tuscan Holdings Corp. II	2023-01-19	edgar/data/1773087/0001213900-23-003773.txt
15-12G	1829948	CI Financial Corp.	2023-01-19	edgar/data/1829948/0001104659-23-005005.txt
15-12G	1848558	Spindletop Health Acquisition Corp.	2023-01-19	edgar/data/1848558/0001193125-23-010291.txt
25	908311	Creative Media & Community Trust Corp	2023-01-19	edgar/data/908311/0000908311-23-000003.txt
25-NSE	1325879	AVEO PHARMACEUTICALS, INC.	2023-01-19	edgar/data/1325879/0001354457-23-000029.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-19	edgar/data/1354457/0001354457-23-000028.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-19	edgar/data/1354457/0001354457-23-000029.txt
25-NSE	1797336	Ayala Pharmaceuticals, Inc.	2023-01-19	edgar/data/1797336/0001354457-23-000028.txt
25-NSE	1859639	Cazoo Group Ltd	2023-01-19	edgar/data/1859639/0000876661-23-000060.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-19	edgar/data/876661/0000876661-23-000060.txt
15-12G	1532981	Eros Media World PLC	2023-01-20	edgar/data/1532981/0000950157-23-000037.txt
15-12G	1769267	First Seacoast Bancorp	2023-01-20	edgar/data/1769267/0000943374-23-000020.txt
15F-15D	1156831	QUEBECOR MEDIA INC	2023-01-20	edgar/data/1156831/0001104659-23-005204.txt
25	1263011	EXCELLON RESOURCES INC	2023-01-20	edgar/data/1263011/0001493152-23-001978.txt
25-NSE	1143313	NYSE AMERICAN LLC	2023-01-20	edgar/data/1143313/0001143313-23-000005.txt
25-NSE	1143313	NYSE AMERICAN LLC	2023-01-20	edgar/data/1143313/0001143313-23-000007.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-20	edgar/data/1143362/0001143362-23-000016.txt
25-NSE	1329377	FIRST TRUST EXCHANGE-TRADED FUND	2023-01-20	edgar/data/1329377/0001143362-23-000016.txt
